index,Continent,Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
45,Africa,Morocco,Rabat,179.8,183.6,232.5,255.0,291.4,288.0,316.2,306.9,261.0,235.6,189.0,179.8,2918.8
46,Africa,Morocco,Marrakech,220.1,211.8,248.0,255.0,288.3,315.0,334.8,316.2,264.0,244.9,213.0,220.1,3131.2
47,Africa,Morocco,Ouarzazate,251.8,244.9,297.2,315.2,332.7,335.0,317.7,293.2,266.4,271.3,242.9,248.1,3416.4
48,Africa,Egypt,Cairo,229.4,234.9,279.0,306.0,331.7,363.0,372.0,356.5,318.0,294.5,246.0,210.8,3541.8
49,Africa,Egypt,Alexandria,217.0,226.2,279.0,318.0,337.9,357.0,372.0,368.9,333.0,306.9,246.0,207.7,3579.5
50,Africa,Egypt,Helwan,235.6,246.5,291.4,318.0,353.4,384.0,390.6,375.1,333.0,303.8,258.0,235.6,3725.0
51,Africa,Libya,Tripoli,206.0,214.0,237.0,250.0,315.0,312.0,376.0,352.0,271.0,244.0,212.0,198.0,3187.0
52,Africa,Libya,Benghazi,179.8,192.0,232.5,252.0,319.3,327.0,381.3,365.8,288.0,251.1,213.0,167.4,3169.2
53,Africa,Kenya,Mombasa,269.7,257.1,269.7,225.0,204.6,207.0,210.8,244.9,246.0,272.8,264.0,260.4,2932.0
54,Africa,Kenya,Nairobi,288.3,266.0,266.6,204.0,189.1,159.0,130.2,127.1,180.0,226.3,198.0,257.3,2491.9
55,Africa,Kenya,Garissa,251.1,235.2,263.5,273.0,282.1,255.0,254.2,257.3,270.0,279.0,252.0,241.8,3114.2
56,Africa,Kenya,Lodwar,319.0,280.0,282.0,279.0,307.0,297.0,279.0,310.0,321.0,316.0,282.0,310.0,3582.0
57,Africa,Angola,Luanda,219.0,208.0,213.0,199.0,233.0,223.0,175.0,150.0,145.0,164.0,199.0,212.0,2341.0
58,Africa,South Sudan,Juba,288.3,237.8,220.1,195.0,241.8,225.0,182.9,213.9,225.0,235.6,237.0,251.1,2753.5
59,Africa,South Sudan,Wau,300.7,269.7,260.4,228.0,254.2,237.0,176.7,192.2,210.0,229.4,267.0,303.8,2929.1
60,Africa,Tanzania,Dar-es-Salaam,251.0,241.0,217.0,156.0,192.0,231.0,251.0,242.0,243.0,254.0,270.0,287.0,2815.0
61,Africa,Tanzania,Zanzibar,251.0,243.0,213.0,180.0,210.0,220.0,235.0,253.0,254.0,270.0,250.0,259.0,2838.0
62,Africa,Tanzania,Tabora,216.0,218.0,219.0,227.0,283.0,303.0,310.0,297.0,312.0,301.0,240.0,217.0,3143.0
63,Africa,Tanzania,Dodoma,241.8,217.5,241.8,240.0,279.0,294.0,341.0,297.6,300.0,310.0,303.0,269.7,3335.4
64,Africa,Ethiopia,Mekelle,294.2,276.7,279.9,277.2,303.2,230.1,165.5,166.5,248.7,291.1,292.8,303.5,3129.4
65,Africa,Ethiopia,Addis Abeba,269.7,246.5,248.0,213.0,217.0,156.0,68.2,83.7,138.0,266.6,267.0,266.6,2440.3
66,Africa,Congo,Brazaville,168.0,152.0,194.0,185.0,188.0,153.0,127.0,149.0,145.0,150.0,157.0,147.0,1915.0
67,Africa,Congo,Pointe-Noire,157.0,156.0,164.0,160.0,150.0,132.0,119.0,106.0,70.0,93.0,123.0,144.0,1574.0
68,Africa,Congo,Dolisie,153.0,164.0,159.0,152.0,151.0,136.0,119.0,105.0,91.0,116.0,128.0,133.0,1607.0
69,Africa,Democratic Republic of the Congo,Kinshasa,124.0,140.0,155.0,150.0,155.0,120.0,124.0,155.0,120.0,155.0,150.0,124.0,1672.0
70,Africa,Democratic Republic of the Congo,Lubumbashi,129.0,120.0,174.0,234.0,291.0,295.0,315.0,318.0,294.0,282.0,194.0,132.0,2778.0
71,Africa,Mauritania,Nouadhibou,271.0,248.0,300.0,295.0,315.0,303.0,275.0,281.0,261.0,260.0,257.0,264.0,3332.0
72,Africa,Mauritania,Nouakchott,267.0,250.0,302.0,311.0,320.0,284.0,271.0,265.0,266.0,263.0,268.0,267.0,3333.0
73,Africa,South Africa,Pretoria,261.0,235.0,254.0,246.6,283.0,271.0,289.0,296.0,284.0,275.0,254.0,272.0,3220.0
74,Africa,South Africa,Cape Town,337.9,297.4,292.9,233.5,205.3,175.4,193.1,212.1,224.7,277.7,309.8,334.2,3094.0
75,Africa,South Africa,Johannesburg,250.1,224.8,238.8,236.9,276.0,266.9,283.9,284.1,280.8,269.5,248.7,263.9,3124.4
76,Africa,South Africa,Bloemfontein,296.3,247.9,258.6,250.2,266.0,249.9,272.6,285.9,278.0,290.9,296.5,319.5,3312.3
77,Africa,South Africa,Upington,352.9,298.7,297.5,283.5,290.5,270.3,289.8,307.3,300.2,328.9,345.2,367.0,3731.8
78,Africa,South Africa,Durban,184.0,178.8,201.6,206.4,223.6,224.9,230.4,217.0,173.3,169.4,166.1,189.9,2365.4
79,Africa,Botswana,Maun,245.0,207.0,257.0,282.0,310.0,300.0,313.0,332.0,315.0,291.0,264.0,214.0,3330.0
80,Africa,Botswana,Gaborone,280.6,261.5,264.4,260.5,284.2,260.0,292.4,313.6,308.4,295.4,265.5,285.2,3371.0
81,Africa,Botswana,Ghanzi,295.0,280.0,313.0,282.0,316.0,306.0,316.0,319.0,305.0,279.0,300.0,267.0,3579.0
82,Africa,Zambia,Ndola,151.9,142.8,192.2,243.0,279.0,276.0,297.6,297.6,279.0,269.7,207.0,158.1,2793.9
83,Africa,Zambia,Lusaka,176.7,168.0,220.1,246.0,275.9,270.0,294.5,303.8,291.0,272.8,234.0,182.9,2935.7
